X = [[crystal_palace, liverpool], 19, sabado, 18] ;
X = [[leeds_united, tottenham], 19, sabado, 14] ;
X = [[nottm_forest, brentford], 19, sabado, 19] ;
X = [[man_united, arsenal], 19, sabado, 15] ;
X = [[man_city, everton], 19, domingo, 15] ;
X = [[newcastle, chelsea], 19, sabado, 17] ;
X = [[bournemouth, wolves], 19, sabado, 17] ;
X = [[fulham, leicester_city], 19, domingo, 20] ;
X = [[southampton, brighton], 19, domingo, 14] ;
X = [[west_ham, aston_villa], 19, viernes, 18].
