X = [[man_united, brentford], 18, sabado, 17] ;
X = [[liverpool, leeds_united], 18, sabado, 19] ;
X = [[everton, crystal_palace], 18, sabado, 21] ;
X = [[brentford, everton], 19, sabado, 16] ;
X = [[man_united, newcastle], 19, sabado, 14] ;
X = [[liverpool, chelsea], 19, viernes, 21] ;
X = [[leicester_city, leeds_united], 19, viernes, 15] ;
X = [[fulham, wolves], 19, domingo, 18] ;
X = [[crystal_palace, west_ham], 19, viernes, 20] ;
X = [[nottm_forest, bournemouth], 19, domingo, 15] ;
X = [[aston_villa, arsenal], 19, viernes, 18] ;
X = [[tottenham, man_city], 19, domingo, 17] ;
X = [[brighton, southampton], 19, domingo, 19].
